ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Leg_Start,Leg_End
00100348,beam,M348,L40x4,A36,0.0,-1.04021,8.85,1.02215,-1.02215,9.85,,"{'ID': '00100332', 'Type': 'beam', 'PieceMark': 'M332', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': -1.02215, 'EndZ': 9.85}"
00100349,beam,M349,L40x4,A36,1.04021,0.0,8.85,1.02215,-1.02215,9.85,,"{'ID': '00100332', 'Type': 'beam', 'PieceMark': 'M332', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': -1.02215, 'EndZ': 9.85}"
00100350,beam,M350,L40x4,A36,1.04021,0.0,8.85,1.02215,1.02215,9.85,,"{'ID': '00100333', 'Type': 'beam', 'PieceMark': 'M333', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': 1.02215, 'EndZ': 9.85}"
00100351,beam,M351,L40x4,A36,0.0,1.04021,8.85,1.02215,1.02215,9.85,,"{'ID': '00100333', 'Type': 'beam', 'PieceMark': 'M333', 'Section': 'L130x12', 'Material': 'A36', 'StartX': 1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': 1.02215, 'EndY': 1.02215, 'EndZ': 9.85}"
00100352,beam,M352,L40x4,A36,0.0,1.04021,8.85,-1.02215,1.02215,9.85,,"{'ID': '00100334', 'Type': 'beam', 'PieceMark': 'M334', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': 1.02215, 'EndZ': 9.85}"
00100353,beam,M353,L40x4,A36,-1.04021,0.0,8.85,-1.02215,1.02215,9.85,,"{'ID': '00100334', 'Type': 'beam', 'PieceMark': 'M334', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': 1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': 1.02215, 'EndZ': 9.85}"
00100354,beam,M354,L40x4,A36,-1.04021,0.0,8.85,-1.02215,-1.02215,9.85,,"{'ID': '00100331', 'Type': 'beam', 'PieceMark': 'M331', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': -1.02215, 'EndZ': 9.85}"
00100360,beam,M360,L40x4,A36,-1.09167,-1.09167,6.0,0.0,-1.07497,6.925,"{'ID': '00100379', 'Type': 'beam', 'PieceMark': 'M379', 'Section': 'L140x12', 'Material': 'A36', 'StartX': -1.13139, 'StartY': -1.13139, 'StartZ': 3.8, 'EndX': -1.09167, 'EndY': -1.09167, 'EndZ': 6.0}",
00100361,beam,M361,L40x4,A36,1.09167,-1.09167,6.0,0.0,-1.07497,6.925,"{'ID': '00100380', 'Type': 'beam', 'PieceMark': 'M380', 'Section': 'L140x12', 'Material': 'A36', 'StartX': 1.13139, 'StartY': -1.13139, 'StartZ': 3.8, 'EndX': 1.09167, 'EndY': -1.09167, 'EndZ': 6.0}",
00100363,beam,M363,L40x4,A36,1.09167,-1.09167,6.0,1.07497,0.0,6.925,"{'ID': '00100380', 'Type': 'beam', 'PieceMark': 'M380', 'Section': 'L140x12', 'Material': 'A36', 'StartX': 1.13139, 'StartY': -1.13139, 'StartZ': 3.8, 'EndX': 1.09167, 'EndY': -1.09167, 'EndZ': 6.0}",
00100364,beam,M364,L40x4,A36,1.09167,1.09167,6.0,1.07497,0.0,6.925,"{'ID': '00100381', 'Type': 'beam', 'PieceMark': 'M381', 'Section': 'L140x12', 'Material': 'A36', 'StartX': 1.13139, 'StartY': 1.13139, 'StartZ': 3.8, 'EndX': 1.09167, 'EndY': 1.09167, 'EndZ': 6.0}",
00100366,beam,M366,L40x4,A36,1.09167,1.09167,6.0,0.0,1.07497,6.925,"{'ID': '00100381', 'Type': 'beam', 'PieceMark': 'M381', 'Section': 'L140x12', 'Material': 'A36', 'StartX': 1.13139, 'StartY': 1.13139, 'StartZ': 3.8, 'EndX': 1.09167, 'EndY': 1.09167, 'EndZ': 6.0}",
00100367,beam,M367,L40x4,A36,-1.09167,1.09167,6.0,0.0,1.07497,6.925,"{'ID': '00100382', 'Type': 'beam', 'PieceMark': 'M382', 'Section': 'L140x12', 'Material': 'A36', 'StartX': -1.13139, 'StartY': 1.13139, 'StartZ': 3.8, 'EndX': -1.09167, 'EndY': 1.09167, 'EndZ': 6.0}",
