,ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,MemberClass
298,100192,beam,M192,L40x5,A36,-0.7657474452299756,-0.6657311337095169,24.0509299026351,-0.7537269508972962,0.6537106747176524,24.71668970938691,brace
299,100193,beam,M193,L40x5,A36,-0.6518710310547867,-0.7518872207633648,24.81857711932417,0.6398841597868471,-0.7399005555445053,25.48237669721753,brace
300,100194,beam,M194,L40x5,A36,0.7518872207633648,-0.6518710310547867,24.81857711932417,0.7399005555445053,0.6398841597868471,25.48237669721753,brace
301,100195,beam,M195,L40x5,A36,0.6518710310547867,0.7518872207633648,24.81857711932417,-0.6398841597868471,0.7399005555445053,25.48237669721753,brace
302,100196,beam,M196,L40x5,A36,-0.7518872207633648,0.6518710310547867,24.81857711932417,-0.7399005555445053,-0.6398841597868471,25.48237669721753,brace
303,100197,beam,M197,L40x5,A36,0.638010024808957,-0.738026405951292,25.586174386443037,-0.6260595038610944,-0.7260757117350728,26.24811610408321,brace
304,100198,beam,M198,L40x5,A36,0.738026405951292,0.638010024808957,25.586174386443037,0.7260757117350728,-0.6260595038610944,26.24811610408321,brace
305,100199,beam,M199,L40x5,A36,-0.638010024808957,0.738026405951292,25.586174386443037,0.6260595038610944,0.7260757117350728,26.24811610408321,brace
306,100200,beam,M200,L40x5,A36,-0.738026405951292,-0.638010024808957,25.586174386443037,-0.7260757117350728,0.6260595038610944,26.24811610408321,brace
307,100209,beam,M209,L45x5,A36,0.7051099267016739,-0.8051262200342026,21.869938973988077,-0.6877433849281354,-0.7877596782606642,22.831783591625268,brace
308,100210,beam,M210,L45x5,A36,0.8051262200342026,0.7051099267016739,21.869938973988077,0.7877596782606642,-0.6877433849281354,22.831783591625268,brace
309,100211,beam,M211,L45x5,A36,-0.7051099267016739,0.8051262200342026,21.869938973988077,0.6877433849281354,0.7877596782606642,22.831783591625268,brace
310,100212,beam,M212,L45x5,A36,-0.8051262200342026,-0.7051099267016739,21.869938973988077,-0.7877596782606642,0.6877433849281354,22.831783591625268,brace
311,100213,beam,M213,L45x5,A36,-0.6852162135773309,-0.7852325069098596,22.97175078793386,0.6679134866332687,-0.7679297799657974,23.930061026011927,brace
312,100214,beam,M214,L45x5,A36,0.7852325069098596,-0.6852162135773309,22.97175078793386,0.7679297799657974,0.6679134866332687,23.930061026011927,brace
313,100215,beam,M215,L45x5,A36,0.6852162135773309,0.7852325069098596,22.97175078793386,-0.6679134866332687,0.7679297799657974,23.930061026011927,brace
314,100216,beam,M216,L45x5,A36,-0.7852325069098596,0.6852162135773309,22.97175078793386,-0.7679297799657974,-0.6679134866332687,23.930061026011927,brace
315,100227,beam,M227,L45x5,A36,0.7396361511663132,-0.8396524745053013,19.957687104708707,-0.7245460122243863,-0.8245622754791552,20.793489872598094,brace
316,100228,beam,M228,L45x5,A36,0.8396524745053013,0.7396361511663132,19.957687104708707,0.8245622754791552,-0.7245460122243863,20.793489872598094,brace
317,100229,beam,M229,L45x5,A36,-0.7396361511663132,0.8396524745053013,19.957687104708707,0.7245460122243863,0.8245622754791552,20.793489872598094,brace
318,100230,beam,M230,L45x5,A36,-0.8396524745053013,-0.7396361511663132,19.957687104708707,-0.8245622754791552,0.7245460122243863,20.793489872598094,brace
319,100231,beam,M231,L45x5,A36,-0.7224619964772169,-0.8224782584671214,20.908914152406847,0.7074142628789788,-0.8074305862179668,21.74231289529129,brace
320,100232,beam,M232,L45x5,A36,0.8224782584671214,-0.7224619964772169,20.908914152406847,0.8074305862179668,0.7074142628789788,21.74231289529129,brace
321,100233,beam,M233,L45x5,A36,0.7224619964772169,0.8224782584671214,20.908914152406847,-0.7074142628789788,0.8074305862179668,21.74231289529129,brace
322,100234,beam,M234,L45x5,A36,-0.8224782584671214,0.7224619964772169,20.908914152406847,-0.8074305862179668,-0.7074142628789788,21.74231289529129,brace
