Member A,Class A,Member B,Class B,Volume (m³)
20,leg,239,brace,N/A
324,brace,328,brace,1.208448e-05
375,brace,383,brace,2.381277e-06
160,horizontal,55,leg,N/A
69,leg,73,leg,N/A
435,brace,90,leg,N/A
102,horizontal,219,brace,7.851982e-06
379,brace,402,brace,1.514347e-07
208,brace,220,brace,3.274235e-06
141,horizontal,292,brace,1.062984e-05
448,brace,93,leg,N/A
138,horizontal,38,leg,N/A
138,horizontal,35,leg,N/A
400,brace,401,brace,1.946219e-06
150,horizontal,50,leg,N/A
143,horizontal,39,leg,N/A
153,horizontal,53,leg,N/A
183,horizontal,184,horizontal,6.400211e-07
120,horizontal,18,leg,N/A
394,brace,82,leg,N/A
449,brace,89,leg,N/A
162,horizontal,323,brace,2.508924e-05
411,brace,420,brace,3.673201e-09
413,brace,436,brace,1.834698e-07
293,brace,42,leg,N/A
129,horizontal,29,leg,N/A
130,horizontal,269,brace,8.473809e-06
224,brace,228,brace,3.274897e-06
111,horizontal,9,leg,N/A
423,brace,88,leg,N/A
121,horizontal,239,brace,6.400172e-07
287,brace,40,leg,N/A
124,horizontal,260,brace,6.103299e-07
160,horizontal,54,leg,N/A
187,horizontal,402,brace,5.854137e-06
168,horizontal,338,brace,1.239917e-06
26,leg,261,brace,N/A
242,brace,254,brace,4.054617e-06
11,leg,112,horizontal,N/A
195,horizontal,433,brace,6.942799e-06
100,horizontal,96,horizontal,1.545131e-06
196,horizontal,91,leg,N/A
169,horizontal,67,leg,N/A
14,leg,232,brace,N/A
129,horizontal,130,horizontal,6.400172e-07
365,brace,374,brace,3.725199e-09
186,horizontal,189,horizontal,6.399829e-07
172,horizontal,71,leg,N/A
1,leg,207,brace,N/A
104,horizontal,221,brace,7.851982e-06
134,horizontal,135,horizontal,6.399867e-07
189,horizontal,405,brace,5.854139e-06
143,horizontal,282,brace,9.967258e-06
258,brace,262,brace,3.241214e-06
335,brace,339,brace,1.721089e-05
424,brace,89,leg,N/A
281,brace,38,leg,N/A
146,horizontal,289,brace,1.083530e-05
413,brace,422,brace,3.673596e-09
96,horizontal,97,horizontal,2.560044e-06
257,brace,261,brace,3.241216e-06
217,brace,6,leg,N/A
104,horizontal,2,leg,N/A
370,brace,74,leg,N/A
124,horizontal,24,leg,N/A
